ID,SKU,Manufacturer,Model,Variant,Network,Capacity,Color,Grade,Damages,Weight,Weight Unit
2639450,MACBOOKAIR512SILVB,Apple,"MacBook Air (13-inch, 2017)","A1466 (8GB RAM, 1.8GHz i5)",Wi-Fi,512GB,Silver,B Grade,"",,
2639455,MACBOOKAIR256SILVC00002,Apple,"MacBook Air (13-inch, 2017)","A1466 (8GB RAM, 2.2GHz i7)",Wi-Fi,256GB,Silver,C Grade,"",,
2639478,MACBOOKPRO256SILVC00003,Apple,"MacBook Pro (13-inch, 2017)","A1708 (16GB RAM, 2.3GHz i5)",Wi-Fi,256GB,Silver,C Grade,"",,
2639479,MACBOOKPRO256SILVA,Apple,"MacBook Pro (13-inch, 2017)","A1708 (16GB RAM, 2.3GHz i5)",Wi-Fi,256GB,Silver,A Grade,"",,
2639488,MACBOOKPRO128SILVB,Apple,"MacBook Pro (13-inch, 2017)","A1708 (8GB RAM, 2.3GHz i5)",Wi-Fi,128GB,Silver,B Grade,"",,
2639490,MACBOOKPRO128SILVD00002,Apple,"MacBook Pro (13-inch, 2017)","A1708 (8GB RAM, 2.3GHz i5)",Wi-Fi,128GB,Silver,D Grade,"",,
2639491,MACBOOKPRO128SILVC00002,Apple,"MacBook Pro (13-inch, 2017)","A1708 (8GB RAM, 2.3GHz i5)",Wi-Fi,128GB,Silver,C Grade,"",,
2639492,MACBOOKPRO128SILVA,Apple,"MacBook Pro (13-inch, 2017)","A1708 (8GB RAM, 2.3GHz i5)",Wi-Fi,128GB,Silver,A Grade,"",,
2639498,MACBOOKPRO256SILVB00004,Apple,"MacBook Pro (13-inch, 2017)","A1708 (8GB RAM, 2.3GHz i5)",Wi-Fi,256GB,Silver,B Grade,"",,
2639499,MACBOOKPRO256SILVC00004,Apple,"MacBook Pro (13-inch, 2017)","A1708 (8GB RAM, 2.3GHz i5)",Wi-Fi,256GB,Silver,C Grade,"",,
2639503,MACBOOKPRO512SILVA,Apple,"MacBook Pro (13-inch, 2018)","A1989 (8GB RAM, 2.3GHz i5)",Wi-Fi,512GB,Silver,A Grade,"",,
2639510,MACBOOKPRO128SILVC00003,Apple,"MacBook Pro (13-inch, 2019)","A2159 (8GB RAM, 1.4GHz i5)",Wi-Fi,128GB,Silver,C Grade,"",,
2639523,MACBOOKPRO512SILVD,Apple,"MacBook Pro (15-inch, 2013)","A1398 (16GB RAM, 2.3GHz i7)",Wi-Fi,512GB,Silver,D Grade,"",,
2639528,MACBOOKPRO256SILVD,Apple,"MacBook Pro (15-inch, 2015)","A1398 (16GB RAM, 2.5GHz i7)",Wi-Fi,256GB,Silver,D Grade,"",,
2639530,MACBOOKPRO512SILVD00002,Apple,"MacBook Pro (15-inch, 2015)","A1398 (16GB RAM, 2.5GHz i7)",Wi-Fi,512GB,Silver,D Grade,"",,
2639532,MACBOOKPRO512GS,Apple,"MacBook Pro (15-inch, 2015)","A1398 (16GB RAM, 2.5GHz i7)",Wi-Fi,512GB,Silver,D Grade,No Boot,,
2639874,IPADPRO12.9IA158432GBLACD,Apple,iPad Pro 12.9 inch 1st Gen,A1584,Wi-Fi,32GB,Black,D Grade,"",,
2639875,IPADPRO12.9IA158464GBLACD,Apple,iPad Pro 12.9 inch 1st Gen,A1584,Wi-Fi,64GB,Black,D Grade,"",,
2639878,IPADPRO12.9IA1652128BLACD,Apple,iPad Pro 12.9 inch 1st Gen,A1652,Wi-Fi,128GB,Black,D Grade,"",,
2639879,IPADPRO12.9IA165264GBLACD,Apple,iPad Pro 12.9 inch 1st Gen,A1652,Wi-Fi,64GB,Black,D Grade,"",,
2639895,IPADPRO12.9IA2436128SPACA,Apple,iPad Pro 12.9 inch 6th Gen,A2436,Wi-Fi,128GB,Space Grey,A Grade,"",,
2639903,IPADPRO12.9IA2378128SILVA,Apple,iPad Pro 12.9 inch 5th Gen,A2378,Wi-Fi,128GB,Silver,A Grade,"",,
